[1860/300000] -- step:23645 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.9 -- time:0.0019
[1880/300000] -- step:23885 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.899 -- time:0.0017
[1900/300000] -- step:24125 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.898 -- time:0.0017
[1920/300000] -- step:24365 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.897 -- time:0.0017
[1940/300000] -- step:24605 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.896 -- time:0.0016
[1960/300000] -- step:24940 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.894 -- time:0.0017
[1980/300000] -- step:25180 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.894 -- time:0.0018
[2000/300000] -- step:25420 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.893 -- time:0.0029
[2020/300000] -- step:25706 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.891 -- time:0.0017
[2040/300000] -- step:25974 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.89 -- time:0.0028
[2060/300000] -- step:26214 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.889 -- time:0.0017
[2080/300000] -- step:26454 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.888 -- time:0.0019
[2100/300000] -- step:26694 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.888 -- time:0.0017
[2120/300000] -- step:26934 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.887 -- time:0.0017
[2140/300000] -- step:27174 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.886 -- time:0.0017
[2160/300000] -- step:27414 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.885 -- time:0.0017
[2180/300000] -- step:27654 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.884 -- time:0.0019
[2200/300000] -- step:27894 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.883 -- time:0.0018
[2220/300000] -- step:28134 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.882 -- time:0.0017
[2240/300000] -- step:28374 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.881 -- time:0.0017
[2260/300000] -- step:28614 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.88 -- time:0.0018
[2280/300000] -- step:28854 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.879 -- time:0.0028
[2300/300000] -- step:29094 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.878 -- time:0.002
[2320/300000] -- step:29334 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.877 -- time:0.0019
[2340/300000] -- step:29574 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.876 -- time:0.0027
[2360/300000] -- step:29814 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.875 -- time:0.0018
[2380/300000] -- step:30082 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.874 -- time:0.0017
[2400/300000] -- step:30322 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.873 -- time:0.0018
[2420/300000] -- step:30590 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.872 -- time:0.0018
[2440/300000] -- step:30830 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.871 -- time:0.0017
[2460/300000] -- step:31070 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.871 -- time:0.0019
[2480/300000] -- step:31310 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.87 -- time:0.0017
[2500/300000] -- step:31550 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.869 -- time:0.0019
[2520/300000] -- step:31790 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.868 -- time:0.0018
[2540/300000] -- step:32030 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.867 -- time:0.0017
[2560/300000] -- step:32270 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.866 -- time:0.0019
[2580/300000] -- step:32510 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.865 -- time:0.0017
[2600/300000] -- step:32750 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.864 -- time:0.0018
[2620/300000] -- step:33039 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.863 -- time:0.0018
[2640/300000] -- step:33279 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.862 -- time:0.0017
[2660/300000] -- step:33519 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.861 -- time:0.0019
[2680/300000] -- step:33759 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.86 -- time:0.0018
[2700/300000] -- step:33999 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.859 -- time:0.0029
[2720/300000] -- step:34239 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.858 -- time:0.002
[2740/300000] -- step:34479 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.857 -- time:0.0016
[2760/300000] -- step:34719 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.857 -- time:0.0017
[2780/300000] -- step:34959 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.856 -- time:0.0017
[2800/300000] -- step:35245 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.855 -- time:0.0019
[2820/300000] -- step:35485 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.854 -- time:0.0017
[2840/300000] -- step:35725 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.853 -- time:0.0017
[2860/300000] -- step:35965 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.852 -- time:0.002
[2880/300000] -- step:36205 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.851 -- time:0.0017
[2900/300000] -- step:36445 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.85 -- time:0.0016
[2920/300000] -- step:36685 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.849 -- time:0.0017
[2940/300000] -- step:36925 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.848 -- time:0.003
[2960/300000] -- step:37165 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.847 -- time:0.0017
[2980/300000] -- step:37405 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.846 -- time:0.0018
[3000/300000] -- step:37645 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.846 -- time:0.0017
[3020/300000] -- step:37885 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.845 -- time:0.0016
[3040/300000] -- step:38125 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.844 -- time:0.0016
[3060/300000] -- step:38393 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.843 -- time:0.0028
[3080/300000] -- step:38633 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.842 -- time:0.0018
[3100/300000] -- step:38873 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.841 -- time:0.0032
[3120/300000] -- step:39113 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.84 -- time:0.0017
[3140/300000] -- step:39353 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.839 -- time:0.0017
[3160/300000] -- step:39593 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.838 -- time:0.0017
[3180/300000] -- step:39833 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.837 -- time:0.0018
[3200/300000] -- step:40073 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.837 -- time:0.0018
[3220/300000] -- step:40313 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.836 -- time:0.0018
[3240/300000] -- step:40553 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.835 -- time:0.0028
[3260/300000] -- step:40793 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.834 -- time:0.0017
[3280/300000] -- step:41033 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.833 -- time:0.0017
[3300/300000] -- step:41350 -- avg_reward:0.2 -- best_reward:2.0  -- eps:0.832 -- time:0.0031
[3320/300000] -- step:41590 -- avg_reward:0.2 -- best_reward:2.0  -- eps:0.831 -- time:0.0018
[3340/300000] -- step:41830 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.83 -- time:0.0018
[3360/300000] -- step:42070 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.829 -- time:0.0029
[3380/300000] -- step:42310 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.828 -- time:0.0017
[3400/300000] -- step:42550 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.828 -- time:0.0017
[3420/300000] -- step:42790 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.827 -- time:0.0017
[3440/300000] -- step:43030 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.826 -- time:0.0017
[3460/300000] -- step:43270 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.825 -- time:0.0016
[3480/300000] -- step:43510 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.824 -- time:0.0031
[3500/300000] -- step:43750 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.823 -- time:0.0017
[3520/300000] -- step:43990 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.822 -- time:0.0017
[3540/300000] -- step:44230 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.821 -- time:0.0019
[3560/300000] -- step:44470 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.821 -- time:0.0017
[3580/300000] -- step:44710 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.82 -- time:0.0016
[3600/300000] -- step:44950 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.819 -- time:0.0018
[3620/300000] -- step:45190 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.818 -- time:0.0017
[3640/300000] -- step:45430 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.817 -- time:0.0017
[3660/300000] -- step:45670 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.816 -- time:0.0017
[3680/300000] -- step:45910 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.815 -- time:0.0017
[3700/300000] -- step:46150 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.815 -- time:0.0018
[3720/300000] -- step:46390 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.814 -- time:0.0017
[3740/300000] -- step:46709 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.813 -- time:0.0017
[3760/300000] -- step:46949 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.812 -- time:0.0018
[3780/300000] -- step:47189 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.811 -- time:0.0017
[3800/300000] -- step:47429 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.81 -- time:0.0016
[3820/300000] -- step:47669 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.809 -- time:0.0016
[3840/300000] -- step:47909 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.808 -- time:0.0018
[3860/300000] -- step:48149 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.807 -- time:0.0017
[3880/300000] -- step:48389 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.807 -- time:0.0017
[3900/300000] -- step:48629 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.806 -- time:0.0017
[3920/300000] -- step:48869 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.805 -- time:0.0032
[3940/300000] -- step:49109 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.804 -- time:0.0018
[3960/300000] -- step:49349 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.803 -- time:0.0033
[3980/300000] -- step:49589 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.802 -- time:0.0017
[4000/300000] -- step:49829 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.802 -- time:0.0017
[4020/300000] -- step:50097 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.801 -- time:0.0132
[4040/300000] -- step:50337 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.8 -- time:0.0139
[4060/300000] -- step:50577 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.799 -- time:0.014
[4080/300000] -- step:50863 -- avg_reward:0.1 -- best_reward:1.0  -- eps:0.798 -- time:0.0134
[4100/300000] -- step:51131 -- avg_reward:0.1 -- best_reward:1.0  -- eps:0.797 -- time:0.014
[4120/300000] -- step:51417 -- avg_reward:0.1 -- best_reward:1.0  -- eps:0.796 -- time:0.0148
